instance,run,seed,island,model,percentile,threshold,objective,val_samples
concentricCircles1,8,71,4,SSVM,50,-0.897638,0.409,41
concentricCircles1,8,71,8,MTLR,50,0.969397,-0.1798,34
concentricCircles1,8,71,3,DEEPSURV,75,75.0,0.0337,35
concentricCircles1,9,81,6,KNN,50,-20.133333,0.1698,34
concentricCircles1,9,81,4,SSVM,75,-0.575224,0.1126,35
concentricCircles1,9,81,7,ELASTICNET,80,0.123794,-0.0474,34
concentricCircles1,9,81,0,COX,50,1.022163,0.3298,35
concentricCircles1,9,81,2,GBSA,50,0.020255,0.215,34
concentricCircles1,9,81,1,RSF,80,76.632532,0.2262,34
concentricCircles1,9,81,5,WEIBULLAFT,80,-13.844379,0.1572,33
concentricCircles1,9,81,3,DEEPSURV,55,55.0,0.2688,35
concentricCircles1,9,81,8,MTLR,95,0.999901,-0.0593,38
rotatingDiamonds1,10,91,6,KNN,60,-17.013333,0.4797,40
rotatingDiamonds1,10,91,7,ELASTICNET,65,0.09659,0.3361,40
rotatingDiamonds1,10,91,4,SSVM,50,2.154203,0.2743,38
rotatingDiamonds1,10,91,0,COX,95,1.364511,0.0397,40
rotatingDiamonds1,10,91,1,RSF,50,67.88465,0.3865,40
rotatingDiamonds1,10,91,2,GBSA,85,1.707638,0.0783,40
rotatingDiamonds1,10,91,5,WEIBULLAFT,65,-10.204767,0.4235,39
rotatingDiamonds1,10,91,3,DEEPSURV,50,50.0,0.1628,40
rotatingDiamonds1,10,91,8,MTLR,65,0.987078,-0.0865,40
rotatingDiamonds1,1,1,7,ELASTICNET,50,0.066905,0.6373,40
rotatingDiamonds1,1,1,6,KNN,50,-19.466667,0.1921,40
rotatingDiamonds1,1,1,4,SSVM,55,44.171881,0.2131,39
rotatingDiamonds1,1,1,0,COX,90,1.222699,0.0908,40
rotatingDiamonds1,1,1,2,GBSA,55,0.196964,0.1923,40
rotatingDiamonds1,1,1,1,RSF,55,87.367604,0.4266,40
rotatingDiamonds1,1,1,5,WEIBULLAFT,50,-14.091729,0.3587,37
rotatingDiamonds1,1,1,3,DEEPSURV,50,50.0,0.1611,40
rotatingDiamonds1,1,1,8,MTLR,85,0.970995,-0.0703,40
rotatingDiamonds1,2,11,7,ELASTICNET,50,0.034261,0.1129,40
rotatingDiamonds1,2,11,6,KNN,90,-12.933333,0.0544,40
rotatingDiamonds1,2,11,0,COX,50,1.09951,0.4404,40
rotatingDiamonds1,2,11,4,SSVM,50,-0.597064,0.2386,39
rotatingDiamonds1,2,11,1,RSF,50,66.241387,0.4866,40
rotatingDiamonds1,2,11,2,GBSA,50,0.167393,0.1111,40
rotatingDiamonds1,2,11,5,WEIBULLAFT,60,-14.224156,0.1688,38
rotatingDiamonds1,2,11,3,DEEPSURV,75,75.0,0.0093,40
rotatingDiamonds1,2,11,8,MTLR,50,0.940243,0.3074,
rotatingDiamonds1,3,21,6,KNN,65,-15.493333,0.2393,40
rotatingDiamonds1,3,21,7,ELASTICNET,55,0.058388,0.1847,40
rotatingDiamonds1,3,21,4,SSVM,50,-0.755001,0.243,38
rotatingDiamonds1,3,21,0,COX,90,1.313346,0.0903,40
rotatingDiamonds1,3,21,1,RSF,80,84.678574,0.177,40
rotatingDiamonds1,3,21,2,GBSA,80,1.520358,0.1011,40
rotatingDiamonds1,3,21,5,WEIBULLAFT,50,-13.532293,0.2037,38
rotatingDiamonds1,3,21,3,DEEPSURV,65,65.0,0.3447,40
rotatingDiamonds1,3,21,8,MTLR,50,0.975881,0.2484,40
rotatingDiamonds1,4,31,6,KNN,50,-19.2,0.0472,40
rotatingDiamonds1,4,31,7,ELASTICNET,50,0.033313,0.2068,40
rotatingDiamonds1,4,31,4,SSVM,65,-0.714789,-0.0164,38
rotatingDiamonds1,4,31,0,COX,65,1.169782,0.3853,40
rotatingDiamonds1,4,31,1,RSF,50,70.037569,0.3139,40
rotatingDiamonds1,4,31,2,GBSA,55,0.369463,0.1508,40
rotatingDiamonds1,4,31,5,WEIBULLAFT,65,-11.328176,0.0702,38
rotatingDiamonds1,4,31,3,DEEPSURV,95,95.0,-0.0145,40
rotatingDiamonds1,4,31,8,MTLR,85,0.984334,0.1331,40
rotatingDiamonds1,5,41,7,ELASTICNET,65,0.090131,0.2809,40
rotatingDiamonds1,5,41,6,KNN,50,-18.266667,0.254,40
rotatingDiamonds1,5,41,0,COX,85,1.18496,0.0729,40
rotatingDiamonds1,5,41,4,SSVM,50,-51.768597,0.151,38
rotatingDiamonds1,5,41,1,RSF,65,80.346126,0.3652,40
rotatingDiamonds1,5,41,2,GBSA,55,0.329122,0.4249,40
rotatingDiamonds1,5,41,5,WEIBULLAFT,80,-11.876957,0.0368,38
rotatingDiamonds1,5,41,3,DEEPSURV,95,95.0,0.0218,40
rotatingDiamonds1,5,41,8,MTLR,50,0.93377,0.1424,40
rotatingDiamonds1,6,51,4,SSVM,50,-0.701899,0.396,37
rotatingDiamonds1,6,51,6,KNN,85,-11.78,-0.085,40
rotatingDiamonds1,6,51,7,ELASTICNET,95,0.270967,-0.0088,40
rotatingDiamonds1,6,51,0,COX,50,0.990344,0.2229,40
rotatingDiamonds1,6,51,1,RSF,50,71.962308,0.2197,40
rotatingDiamonds1,6,51,2,GBSA,55,0.413304,0.1586,40
rotatingDiamonds1,6,51,5,WEIBULLAFT,50,-11.824082,0.4087,38
rotatingDiamonds1,6,51,3,DEEPSURV,95,95.0,-0.0231,40
rotatingDiamonds1,6,51,8,MTLR,80,0.981446,-0.003,40
rotatingDiamonds1,7,61,7,ELASTICNET,55,0.076574,0.2618,40
rotatingDiamonds1,7,61,4,SSVM,50,-0.503023,0.5143,38
rotatingDiamonds1,7,61,0,COX,70,1.248984,0.2534,40
rotatingDiamonds1,7,61,6,KNN,50,-19.433333,0.2377,40
rotatingDiamonds1,7,61,1,RSF,50,63.191963,0.464,40
rotatingDiamonds1,7,61,2,GBSA,85,1.755828,0.1221,40
rotatingDiamonds1,7,61,5,WEIBULLAFT,95,-6.713364,0.0487,38
rotatingDiamonds1,7,61,3,DEEPSURV,50,50.0,0.5046,40
rotatingDiamonds1,7,61,8,MTLR,55,0.962157,0.1563,40
rotatingDiamonds1,8,71,7,ELASTICNET,65,0.104532,0.03,40
