instance,run,cohort_rank,relative_gain
concentricCircles4,run-1783974319_i0,0.391304347826087,0.14850692498598997
concentricCircles4,run-1783974319_i0,0.34615384615384615,0.20165366291514197
concentricCircles4,run-1783974319_i0,0.10526315789473684,0.12008205256746012
concentricCircles4,run-1783974319_i0,0.875,0.2529136316337149
concentricCircles4,run-1783974319_i0,0.47368421052631576,0.22831442762473161
concentricCircles4,run-1783974319_i0,0.6521739130434783,0.2259322971063463
concentricCircles4,run-1783974319_i0,0.3,0.1989971314961046
concentricCircles4,run-1783974319_i0,0.7777777777777778,0.23959289667654698
concentricCircles4,run-1783974319_i0,0.44,0.2095077985732213
concentricCircles4,run-1783974319_i0,0.045454545454545456,0.05928192712553838
concentricCircles4,run-1783974319_i0,0.17391304347826086,0.22735339407450003
concentricCircles4,run-1783974319_i0,0.39285714285714285,0.27008784013185744
concentricCircles4,run-1783974319_i0,0.9565217391304348,0.33037987533754287
concentricCircles4,run-1783974319_i0,0.14285714285714285,0.12474986595905167
concentricCircles4,run-1783974319_i0,0.6538461538461539,0.18133014870124683
concentricCircles4,run-1783974319_i0,0.17391304347826086,0.0561585869749196
concentricCircles4,run-1783974319_i0,0.3333333333333333,0.16511977123352717
concentricCircles4,run-1783974319_i0,0.20833333333333334,0.15261602239017624
concentricCircles4,run-1783974319_i0,0.23076923076923078,0.11954471629905172
concentricCircles4,run-1783974319_i0,0.08333333333333333,0.015103637781800305
concentricCircles4,run-1783974319_i0,0.13636363636363635,0.04081746998921437
concentricCircles4,run-1783974319_i0,0.7916666666666666,0.2851823472508048
concentricCircles4,run-1783974319_i0,0.05,0.0
concentricCircles4,run-1783974319_i0,0.8571428571428571,0.2939663402043631
concentricCircles4,run-1783974319_i0,0.9090909090909091,0.5279509595291502
concentricCircles4,run-1783974319_i0,0.47368421052631576,0.19925945018050492
concentricCircles4,run-1783974319_i0,1.0,0.6030359992634422
concentricCircles4,run-1783974319_i0,0.7647058823529411,0.2580370739904427
concentricCircles4,run-1783974319_i0,0.6666666666666666,0.2171817983859792
concentricCircles4,run-1783974319_i0,0.15,0.12085058849680676
concentricCircles4,run-1783974319_i0,0.20833333333333334,0.15149559514645897
concentricCircles4,run-1783974319_i0,0.84,0.3315267416875664
concentricCircles4,run-1783974319_i0,0.9583333333333334,0.3295588899159483
concentricCircles4,run-1783974319_i0,0.72,0.2191726446676231
concentricCircles4,run-1783974319_i0,0.9565217391304348,0.31948399468664535
concentricCircles4,run-1783974319_i0,0.22727272727272727,0.1417628752315071
concentricCircles4,run-1783974319_i0,1.0,0.5660060187343704
