instance,run,target_kappa,repeat,achieved_kappa,C
bubbles1,run-1782686494_i9,0.0,2,-0.013924560913222144,0.7218467591149891
bubbles1,run-1782686494_i9,0.0,3,0.04050601826614359,0.7213810696863773
bubbles1,run-1782686494_i9,0.0,4,-0.0009940813985166766,0.7251725581440629
bubbles1,run-1782686494_i9,0.1,0,0.041705569987889046,0.7204556798496726
bubbles1,run-1782686494_i9,0.1,1,0.10607407009001918,0.7073933001269656
bubbles1,run-1782686494_i9,0.1,2,0.04584082533610301,0.714787978992414
bubbles1,run-1782686494_i9,0.1,3,0.09678149076096473,0.703566027611103
bubbles1,run-1782686494_i9,0.1,4,0.14592562732661926,0.7095963035019456
bubbles1,run-1782686494_i9,0.2,0,0.24254799965545398,0.6881689016136414
bubbles1,run-1782686494_i9,0.2,1,0.1880484901197189,0.6932127180204327
bubbles1,run-1782686494_i9,0.2,2,0.21017243012986736,0.6942461890915499
bubbles1,run-1782686494_i9,0.2,3,0.21232096921224913,0.6978483055406133
bubbles1,run-1782686494_i9,0.2,4,0.18766453042479642,0.6930515445873807
bubbles1,run-1782686494_i9,0.3,0,0.304667961344338,0.669805988910868
bubbles1,run-1782686494_i9,0.3,1,0.2523618962508823,0.6705500605965832
bubbles1,run-1782686494_i9,0.3,2,0.2671619230041241,0.674300167314071
bubbles1,run-1782686494_i9,0.3,3,0.30421658071690827,0.6750550256786501
bubbles1,run-1782686494_i9,0.3,4,0.31632096513041696,0.674857797401682
bubbles1,run-1782686494_i9,0.4,0,0.4016354885963069,0.6470967049479446
bubbles1,run-1782686494_i9,0.4,1,0.36884011055907284,0.6528790176605841
bubbles1,run-1782686494_i9,0.4,2,0.3714871368719142,0.6562249662960864
bubbles1,run-1782686494_i9,0.4,3,0.3490590479535519,0.6753968485697879
bubbles1,run-1782686494_i9,0.4,4,0.3582418795892994,0.6627439919860729
bubbles1,run-1782686494_i9,0.5,0,0.44122459475888387,0.6257924721234844
bubbles1,run-1782686494_i9,0.5,1,0.48998829361862756,0.633078533521593
bubbles1,run-1782686494_i9,0.5,2,0.5106198536777825,0.634686094937141
bubbles1,run-1782686494_i9,0.5,3,0.517731378418759,0.6202572910483345
bubbles1,run-1782686494_i9,0.5,4,0.5171369798803952,0.6215400001961034
bubbles1,run-1782686494_i9,0.6,0,0.6297213837656472,0.6107910588647444
bubbles1,run-1782686494_i9,0.6,1,0.6181298890019491,0.5987795613043987
bubbles1,run-1782686494_i9,0.6,2,0.5836369751537974,0.6352243514839916
bubbles1,run-1782686494_i9,0.6,3,0.5423777543804645,0.620986897182797
bubbles1,run-1782686494_i9,0.6,4,0.6367496386235645,0.6116892345731891
bubbles1,run-1782686494_i9,0.7,0,0.68618270407349,0.5843256972598055
bubbles1,run-1782686494_i9,0.7,1,0.6855461674523089,0.5937923569736033
bubbles1,run-1782686494_i9,0.7,2,0.6746272468044995,0.5868039330218069
bubbles1,run-1782686494_i9,0.7,3,0.6633782654721767,0.5963884750581797
bubbles1,run-1782686494_i9,0.7,4,0.6655396975500473,0.6010371264009963
bubbles1,run-1782686494_i9,0.8,0,0.7676784480609202,0.5533982950000975
bubbles1,run-1782686494_i9,0.8,1,0.7915896088164596,0.5621670578382011
bubbles1,run-1782686494_i9,0.8,2,0.7957632915804962,0.5564888170829034
bubbles1,run-1782686494_i9,0.8,3,0.7844289020146429,0.5661880895369015
bubbles1,run-1782686494_i9,0.8,4,0.7765446151489306,0.5783126098055774
bubbles1,run-1782686494_i9,0.9,0,0.8891339875543957,0.5385198282394544
